af,asn_v4,asn_v6,country_code,dist,dst_addr,dst_lat,dst_lon,from,fw,group_id,lts,msm_id,msm_name,prb_id,proto,rt,src_addr,src_lat,src_lon,timestamp,type
4,577,6453,CA,2088.315936969052,199.4.144.2,43.677223,-79.630556,70.24.79.241,4680,1911041,115,1911041,Tdig,19797,UDP,14.613,192.168.2.29,60.0005,-94.9985,1427540912,dns
4,20375,,CA,1740.630723642658,199.4.144.2,33.942536,-118.408075,69.172.146.152,4680,1911041,152,1911041,Tdig,19956,UDP,42.238,192.168.0.103,49.2205,-123.0105,1427540908,dns
4,5645,,CA,493.40396015353576,199.4.144.2,45.470556,-73.740833,24.246.54.105,4680,1911041,85,1911041,Tdig,19985,UDP,17.644,10.0.1.19,43.6595,-79.4285,1427540887,dns
4,852,852,CA,1958.1299021134794,199.4.144.2,33.942536,-118.408075,173.183.242.97,4680,1911041,74,1911041,Tdig,20030,UDP,51.606,192.168.1.67,51.2575,-113.9915,1427540895,dns
4,19764,19764,CA,81.37640115649747,199.4.144.2,43.677223,-79.630556,192.139.153.30,4680,1911041,33,1911041,Tdig,20272,UDP,4.239,192.168.5.10,44.4085,-79.6695,1427540922,dns
4,812,6939,CA,75.82116049456808,199.4.144.2,43.677223,-79.630556,99.236.42.28,4680,1911041,26,1911041,Tdig,20273,UDP,23.262,10.9.8.53,43.5285,-80.5495,1427540904,dns
4,11342,,CA,522.7175845464482,199.4.144.2,43.677223,-79.630556,66.212.161.132,4680,1911041,93,1911041,Tdig,20382,UDP,14.627,10.27.68.1,45.5085,-73.5485,1427540888,dns
4,855,,CA,4513.379073050428,199.4.144.2,51.505278,0.055278,142.176.125.66,4680,1911041,169,1911041,Tdig,20451,UDP,70.478,192.168.2.10,46.2275,-63.1305,1427540916,dns
4,5769,,CA,2231.5959398710934,199.4.144.2,25.79325,-80.290556,66.130.166.88,4680,1911041,327,1911041,Tdig,20488,UDP,53.643,10.2.245.241,45.2615,-74.2285,1427540911,dns
4,577,,CA,477.99819514648794,199.4.144.2,43.677223,-79.630556,174.88.231.238,4680,1911041,129,1911041,Tdig,20500,UDP,12.131,192.168.2.17,45.2875,-74.0425,1427540909,dns
4,852,,CA,3819.6830395114525,199.4.144.2,33.942536,-118.408075,209.29.5.141,4680,1911041,135,1911041,Tdig,20519,UDP,97.168,192.168.100.180,45.4215,-75.7025,1427540904,dns
4,5769,,CA,2277.3558144274457,199.4.144.2,25.79325,-80.290556,70.82.73.70,4680,1911041,101,1911041,Tdig,20543,UDP,49.455,192.168.0.105,45.5385,-73.5105,1427540897,dns
4,13657,,CA,1985.660018489849,199.4.144.2,25.79325,-80.290556,216.235.11.88,4680,1911041,222,1911041,Tdig,20615,UDP,48.559,10.0.1.5,43.6395,-79.5325,1427540894,dns
4,577,,CA,27.915728461291966,199.4.144.2,43.677223,-79.630556,70.49.102.173,4680,1911041,24,1911041,Tdig,20628,UDP,22.21,192.168.22.201,43.4315,-79.7015,1427540908,dns
4,40490,40490,CA,1986.2900930771855,199.4.144.2,25.79325,-80.290556,199.19.49.220,4680,1911041,125,1911041,Tdig,20837,UDP,50.976,199.19.49.220,43.6405,-79.3815,1427540893,dns
4,21775,,CA,19.47352339005134,199.4.144.2,43.677223,-79.630556,199.15.87.38,4680,1911041,140,1911041,Tdig,20857,UDP,9.507,199.15.87.38,43.7505,-79.4105,1427540911,dns
4,812,,CA,541.5409155996391,199.4.144.2,43.677223,-79.630556,207.107.79.178,4680,1911041,57,1911041,Tdig,21122,UDP,17.57,192.168.3.69,45.7585,-73.4315,1427540888,dns
4,5769,5769,CA,2226.1704065513272,199.4.144.2,25.79325,-80.290556,184.162.46.114,4680,1911041,37,1911041,Tdig,21520,UDP,54.151,192.168.1.73,45.4775,-75.7415,1427540902,dns
4,40191,,CA,515.3023464061575,199.4.144.2,43.677223,-79.630556,208.85.113.7,4680,1911041,108,1911041,Tdig,22860,UDP,9.037,10.0.253.120,45.6775,-73.7495,1427540896,dns
4,7922,7922,CA,3819.96103625386,199.4.144.2,33.942536,-118.408075,50.149.116.54,4680,1911041,394,1911041,Tdig,281,UDP,44.107,10.7.4.99,45.4175,-75.6985,1427540897,dns
4,852,,CA,1935.065456319686,199.4.144.2,33.942536,-118.408075,137.186.214.31,4680,1911041,376,1911041,Tdig,2829,UDP,89.01,142.5.24.100,51.0615,-114.1115,1427540911,dns
4,5645,,CA,14.026936820249531,199.4.144.2,45.470556,-73.740833,69.165.173.23,4680,1911041,224,1911041,Tdig,4236,UDP,26.32,192.168.1.9,45.4805,-73.5615,1427540922,dns
